file,filepath,true_label,pred_label,confidence,error_type,severity,primary_reason,reason_desc,all_reasons
000379.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\000379.jpg,smoking,not_smoking,73.7,FN,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=73.7% - khá tự tin nhưng sai | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
bb0309.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\bb0309.jpg,smoking,not_smoking,80.2,FN,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=80.2% - rất tự tin nhưng SAI | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
gg0074.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\gg0074.jpg,not_smoking,smoking,68.1,FP,TRUNG_BINH,anh_qua_toi,Ảnh quá tối - khó nhận diện,anh_qua_toi: Độ sáng TB=38 - quá tối | conf_tb_sai: Conf=68.1% - khá tự tin nhưng sai | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
000143.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\000143.jpg,smoking,not_smoking,53.4,FN,NHE,anh_qua_toi,Ảnh quá tối - khó nhận diện,anh_qua_toi: Độ sáng TB=31 - quá tối | truong_hop_bien: Margin=6.8% - sát ngưỡng | conf_thap_sai: Conf=53.4% - không chắc chắn | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
ggg469.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\ggg469.jpg,not_smoking,smoking,84.8,FP,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=84.8% - rất tự tin nhưng SAI | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
gg0679.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\gg0679.jpg,not_smoking,smoking,57.2,FP,NHE,truong_hop_bien,Trường hợp biên - confidence sát ngưỡng,truong_hop_bien: Margin=14.5% - sát ngưỡng | conf_thap_sai: Conf=57.2% - không chắc chắn | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
gg0168.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\gg0168.jpg,not_smoking,smoking,72.6,FP,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=72.6% - khá tự tin nhưng sai | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
gg0037.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\gg0037.jpg,smoking,not_smoking,54.3,FN,NHE,truong_hop_bien,Trường hợp biên - confidence sát ngưỡng,truong_hop_bien: Margin=8.6% - sát ngưỡng | conf_thap_sai: Conf=54.3% - không chắc chắn | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
ggg596.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\ggg596.jpg,smoking,not_smoking,89.4,FN,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=89.4% - rất tự tin nhưng SAI | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
000387.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\000387.jpg,smoking,not_smoking,97.0,FN,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=97.0% - rất tự tin nhưng SAI | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
000150.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\000150.jpg,smoking,not_smoking,70.5,FN,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=70.5% - khá tự tin nhưng sai | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
aug_131_bb0357.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\aug_131_bb0357.jpg,not_smoking,smoking,83.9,FP,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=83.9% - rất tự tin nhưng SAI | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
000256.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\000256.jpg,smoking,not_smoking,82.5,FN,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=82.5% - rất tự tin nhưng SAI | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
ggg113.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\ggg113.jpg,smoking,not_smoking,64.2,FN,TRUNG_BINH,anh_qua_toi,Ảnh quá tối - khó nhận diện,anh_qua_toi: Độ sáng TB=45 - quá tối | conf_tb_sai: Conf=64.2% - khá tự tin nhưng sai | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
gg0170.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\gg0170.jpg,not_smoking,smoking,79.6,FP,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=79.6% - khá tự tin nhưng sai | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
ggg129.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\ggg129.jpg,not_smoking,smoking,73.9,FP,TRUNG_BINH,anh_qua_toi,Ảnh quá tối - khó nhận diện,anh_qua_toi: Độ sáng TB=14 - quá tối | conf_tb_sai: Conf=73.9% - khá tự tin nhưng sai | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
bb0039.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\bb0039.jpg,smoking,not_smoking,91.3,FN,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=91.3% - rất tự tin nhưng SAI | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
gg0152.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\gg0152.jpg,not_smoking,smoking,71.7,FP,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=71.7% - khá tự tin nhưng sai | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
gg0644.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\gg0644.jpg,not_smoking,smoking,63.3,FP,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=63.3% - khá tự tin nhưng sai | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
ggg044.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\ggg044.jpg,not_smoking,smoking,89.8,FP,NGHIEM_TRONG,anh_qua_toi,Ảnh quá tối - khó nhận diện,anh_qua_toi: Độ sáng TB=35 - quá tối | conf_cao_sai: Conf=89.8% - rất tự tin nhưng SAI | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
bb0586.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\bb0586.jpg,smoking,not_smoking,63.9,FN,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=63.9% - khá tự tin nhưng sai | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
ggg253.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\ggg253.jpg,not_smoking,smoking,56.0,FP,NHE,anh_qua_toi,Ảnh quá tối - khó nhận diện,anh_qua_toi: Độ sáng TB=34 - quá tối | truong_hop_bien: Margin=12.0% - sát ngưỡng | conf_thap_sai: Conf=56.0% - không chắc chắn | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
ggg522.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\ggg522.jpg,not_smoking,smoking,84.4,FP,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=84.4% - rất tự tin nhưng SAI | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
c00166.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\c00166.jpg,smoking,not_smoking,83.4,FN,NGHIEM_TRONG,anh_qua_toi,Ảnh quá tối - khó nhận diện,anh_qua_toi: Độ sáng TB=27 - quá tối | conf_cao_sai: Conf=83.4% - rất tự tin nhưng SAI | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
c00067.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\c00067.jpg,smoking,not_smoking,99.0,FN,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=99.0% - rất tự tin nhưng SAI | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
ggg164.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\ggg164.jpg,not_smoking,smoking,66.2,FP,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=66.2% - khá tự tin nhưng sai | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
bb0638.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\bb0638.jpg,not_smoking,smoking,80.4,FP,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=80.4% - rất tự tin nhưng SAI | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
gg0706.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\gg0706.jpg,not_smoking,smoking,79.2,FP,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=79.2% - khá tự tin nhưng sai | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
gg0301.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\gg0301.jpg,not_smoking,smoking,76.3,FP,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=76.3% - khá tự tin nhưng sai | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
gg0416.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\gg0416.jpg,smoking,not_smoking,74.3,FN,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=74.3% - khá tự tin nhưng sai | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
000744.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\000744.jpg,smoking,not_smoking,98.7,FN,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=98.7% - rất tự tin nhưng SAI | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
gg0089.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\gg0089.jpg,smoking,not_smoking,96.9,FN,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=96.9% - rất tự tin nhưng SAI | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
gg0068.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\gg0068.jpg,smoking,not_smoking,60.3,FN,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=60.3% - khá tự tin nhưng sai | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
ggg147.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\ggg147.jpg,smoking,not_smoking,99.3,FN,NGHIEM_TRONG,conf_cao_sai,Confidence cao nhưng sai - lỗi nghiêm trọng,conf_cao_sai: Conf=99.3% - rất tự tin nhưng SAI | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
gg0294.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\not_smoking\gg0294.jpg,not_smoking,smoking,74.0,FP,TRUNG_BINH,conf_tb_sai,Confidence trung bình sai,conf_tb_sai: Conf=74.0% - khá tự tin nhưng sai | giong_hanh_dong_hut: Có thể giống hành động hút thuốc
bb0465.jpg,d:\Dev\smoker_detection\dataset\processed_dataset\smoking\bb0465.jpg,smoking,not_smoking,55.6,FN,NHE,truong_hop_bien,Trường hợp biên - confidence sát ngưỡng,truong_hop_bien: Margin=11.2% - sát ngưỡng | conf_thap_sai: Conf=55.6% - không chắc chắn | thuoc_la_bi_che: Thuốc lá có thể bị che khuất | khoi_khong_ro: Khói thuốc có thể không rõ
